NOMBRE_CAMPO,LONGITUD,TIPO,NEMÓNICO,CATÁLOGO,RANGO_CLAVES   
Resultado definitivo de la entrevista,2,C,r_def,r_def,"00,15                                                           "
Número de la localidad,4,C,cve_loc,,0001-9998
Número de municipio según entidad,3,C,cve_mun,cve_mun,001-575
Estrato nacional y estatal,2,C,est,,"Primer dígito 1-4, Segundo dígito 0-4"
Estrato de diseño trimestral,4,C,est_d_tri,,0001-9999
Estrato de diseño mensual,4,C,est_d_men,,0001-9999
Número de ageb del marco nacional,5,C,cve_ageb,,00001-99999
Tamaño de localidad trimestral,1,C,t_loc_tri,t_loc_tri,[1-4]
Tamaño de localidad mensual,1,C,t_loc_men,t_loc_men,[1-4]
Ciudad autorrepresentada,2,C,cd_a,cd_a,"01-52, 81-86"
Entidad federativa,2,C,cve_ent,cve_ent,[01-32]
Control,5,C,con,,00001-99999
Unidad primaria de muestreo,7,C,upm,,0000001-9999999
Distribución semanal,3,C,d_sem,,"Primer dígito 1-5, Segundo y tercer dígito 01-13"
Número progresivo de la vivienda,4,C,n_pro_viv,,0001-9999
Vivienda seleccionada,2,C,v_sel,v_sel,[01-99]
Número de hogar,1,C,n_hog,n_hog,[1-9]
Hogar mudado,1,C,h_mud,h_mud,0-4
Número de entrevista o visita,2,C,n_ent,n_ent,[1-5]
Periodo,3,C,per,,"Primer dígito 1-4, Segundo y tercer dígito 00-99"
Número de renglón,2,C,n_ren,n_ren,[01-30]
Pregunta 6 Condición de residencia,1,C,c_res,c_res,[1-3]
Pregunta 7 Clave de parentesco,3,C,par_c,par_c,Catálogo de parentesco
Pregunta 8 Sexo,1,C,sex,sex,"1,2"
Pregunta 9 Edad,2,C,eda,eda,00-99
Pregunta 10 Día de nacimiento,2,C,nac_dia,nac_dia,"01-31,99"
Pregunta 10 Mes de nacimiento,2,C,nac_mes,nac_mes,"01-12,99"
Pregunta 10 Año de nacimiento,4,C,nac_anio,,1900 al año actual o 9999
Pregunta 11 Clave de lugar de nacimiento,3,C,l_nac_c,,Catálogo y clasificación de entidades y países
Pregunta 12  ¿Sabe leer y escribir un recado...?,1,C,cs_p12,cs_p12,"1-2,9"
Pregunta 13  ¿Hasta qué año aprobó... en la escuela?,2,C,cs_p13_1,cs_p13_1,"00-09,99"
Pregunta 13  ¿Hasta qué año aprobó... en la escuela?,1,C,cs_p13_2,cs_p13_2,0-9
Pregunta 14 Clave de la carrera,6,C,cs_p14_c,cs_p14_c,Catálogo CMPE (carreras)
Pregunta 15  ¿Qué estudios le pidieron a ... para ingresar a esta carrera?,1,C,cs_p15,cs_p15,"1-3,9"
Pregunta 16  ¿...Terminó los estudios o materias de esta carrera?,1,C,cs_p16,cs_p16,"1-2,9"
Pregunta 17  ¿... Asiste actualmente a la escuela?,1,C,cs_p17,cs_p17,"1-2,9"
Pregunta 18 En total cuántas hijas e hijos que nacieron vivos ha tenido,2,C,n_hij,,"00-25,99"
Pregunta 19 Estado conyugal,1,C,e_con,e_con,"1-6,9"
Pregunta 20a Entidad o país de residencia hace un año,1,C,cs_p20a_1,cs_p20a_1,[1-4]
Pregunta 20a Clave de entidad o país de residencia hace un año,3,C,cs_p20a_c,,Catálogo y clasificación de entidades y países
