entidad,pais_de_origen,anio,trimestre,fecha,millones_de_dolares
Aguascalientes,Alemania,2006,1,2006-03-01,1.5364600000000002
Aguascalientes,Argentina,2006,1,2006-03-01,0
Aguascalientes,Australia,2006,1,2006-03-01,0
Aguascalientes,Austria,2006,1,2006-03-01,0
Aguascalientes,Bélgica,2006,1,2006-03-01,0
Aguascalientes,Brasil,2006,1,2006-03-01,0.59158999999999995
Aguascalientes,Canadá,2006,1,2006-03-01,-0.27507700000000002
Aguascalientes,Chile,2006,1,2006-03-01,0
Aguascalientes,"China, República Popular de",2006,1,2006-03-01,0
Aguascalientes,Colombia,2006,1,2006-03-01,0.00086399999999999997
Aguascalientes,"Corea, República de",2006,1,2006-03-01,0.0087659999999999995
Aguascalientes,Dinamarca,2006,1,2006-03-01,0
Aguascalientes,Ecuador,2006,1,2006-03-01,0
Aguascalientes,El Salvador,2006,1,2006-03-01,0
Aguascalientes,España,2006,1,2006-03-01,2.2237749999999998
Aguascalientes,Estados Unidos de América,2006,1,2006-03-01,16.383921790000002
Aguascalientes,Francia,2006,1,2006-03-01,-2.2898710000000002
Aguascalientes,Guatemala,2006,1,2006-03-01,0
Aguascalientes,Hong Kong,2006,1,2006-03-01,0
Aguascalientes,India,2006,1,2006-03-01,0
Aguascalientes,Italia,2006,1,2006-03-01,1.2e-05
Aguascalientes,Japón,2006,1,2006-03-01,28.854729000000003
Aguascalientes,Luxemburgo,2006,1,2006-03-01,0
Aguascalientes,Nicaragua,2006,1,2006-03-01,0
Aguascalientes,Países Bajos,2006,1,2006-03-01,0
Aguascalientes,Panamá,2006,1,2006-03-01,0
Aguascalientes,Perú,2006,1,2006-03-01,0
Aguascalientes,Portugal,2006,1,2006-03-01,0
Aguascalientes,Reino Unido de la Gran Bretaña e Irlanda del Norte,2006,1,2006-03-01,0.0061919999999999996
Aguascalientes,República Checa,2006,1,2006-03-01,0
Aguascalientes,Singapur,2006,1,2006-03-01,0
Aguascalientes,Suecia,2006,1,2006-03-01,0
Aguascalientes,Suiza,2006,1,2006-03-01,0
Aguascalientes,Taiwán,2006,1,2006-03-01,0
Aguascalientes,Uruguay,2006,1,2006-03-01,0
Aguascalientes,"Venezuela, República Bolivariana de",2006,1,2006-03-01,0
Aguascalientes,Otros países,2006,1,2006-03-01,2.8962969999999997
Aguascalientes,Alemania,2006,2,2006-06-01,3.1075429999999988
Aguascalientes,Argentina,2006,2,2006-06-01,0
Aguascalientes,Australia,2006,2,2006-06-01,0
Aguascalientes,Austria,2006,2,2006-06-01,0
Aguascalientes,Bélgica,2006,2,2006-06-01,1.055374
Aguascalientes,Brasil,2006,2,2006-06-01,2.0652550000000001
Aguascalientes,Canadá,2006,2,2006-06-01,2.1250659999999999
Aguascalientes,Chile,2006,2,2006-06-01,0
Aguascalientes,"China, República Popular de",2006,2,2006-06-01,0
Aguascalientes,Colombia,2006,2,2006-06-01,5.0000000000000004e-06
Aguascalientes,"Corea, República de",2006,2,2006-06-01,5.3000000000000001e-05
Aguascalientes,Dinamarca,2006,2,2006-06-01,0
Aguascalientes,Ecuador,2006,2,2006-06-01,0
Aguascalientes,El Salvador,2006,2,2006-06-01,0
Aguascalientes,España,2006,2,2006-06-01,0.18345100000000003
Aguascalientes,Estados Unidos de América,2006,2,2006-06-01,6.487536999999997
Aguascalientes,Francia,2006,2,2006-06-01,8.0731079999999995
Aguascalientes,Guatemala,2006,2,2006-06-01,0
Aguascalientes,Hong Kong,2006,2,2006-06-01,0
Aguascalientes,India,2006,2,2006-06-01,0
Aguascalientes,Italia,2006,2,2006-06-01,1.4e-05
Aguascalientes,Japón,2006,2,2006-06-01,14.936859000000002
Aguascalientes,Luxemburgo,2006,2,2006-06-01,0
Aguascalientes,Nicaragua,2006,2,2006-06-01,0
Aguascalientes,Países Bajos,2006,2,2006-06-01,0
Aguascalientes,Panamá,2006,2,2006-06-01,0
Aguascalientes,Perú,2006,2,2006-06-01,0
Aguascalientes,Portugal,2006,2,2006-06-01,0
Aguascalientes,Reino Unido de la Gran Bretaña e Irlanda del Norte,2006,2,2006-06-01,2.2417549999999999
Aguascalientes,República Checa,2006,2,2006-06-01,0
Aguascalientes,Singapur,2006,2,2006-06-01,0
Aguascalientes,Suecia,2006,2,2006-06-01,0
Aguascalientes,Suiza,2006,2,2006-06-01,-0.0029969999999999997
Aguascalientes,Taiwán,2006,2,2006-06-01,0
Aguascalientes,Uruguay,2006,2,2006-06-01,0
Aguascalientes,"Venezuela, República Bolivariana de",2006,2,2006-06-01,0
Aguascalientes,Otros países,2006,2,2006-06-01,0.00082399999999999997
Aguascalientes,Alemania,2006,3,2006-09-01,0.38256899999999999
Aguascalientes,Argentina,2006,3,2006-09-01,0
Aguascalientes,Australia,2006,3,2006-09-01,0
Aguascalientes,Austria,2006,3,2006-09-01,0
Aguascalientes,Bélgica,2006,3,2006-09-01,-0.0081510000000000003
Aguascalientes,Brasil,2006,3,2006-09-01,-0.75812599999999997
Aguascalientes,Canadá,2006,3,2006-09-01,0.040662999999999998
Aguascalientes,Chile,2006,3,2006-09-01,0
Aguascalientes,"China, República Popular de",2006,3,2006-09-01,0
Aguascalientes,Colombia,2006,3,2006-09-01,5.7000000000000003e-05
Aguascalientes,"Corea, República de",2006,3,2006-09-01,0
Aguascalientes,Dinamarca,2006,3,2006-09-01,0
Aguascalientes,Ecuador,2006,3,2006-09-01,0
Aguascalientes,El Salvador,2006,3,2006-09-01,0
Aguascalientes,España,2006,3,2006-09-01,0.54117599999999999
Aguascalientes,Estados Unidos de América,2006,3,2006-09-01,9.8594140000000028
Aguascalientes,Francia,2006,3,2006-09-01,2.0527790000000001
Aguascalientes,Guatemala,2006,3,2006-09-01,0
Aguascalientes,Hong Kong,2006,3,2006-09-01,0
Aguascalientes,India,2006,3,2006-09-01,0
Aguascalientes,Italia,2006,3,2006-09-01,5.0000000000000004e-06
Aguascalientes,Japón,2006,3,2006-09-01,12.757104999999999
Aguascalientes,Luxemburgo,2006,3,2006-09-01,0
Aguascalientes,Nicaragua,2006,3,2006-09-01,0
Aguascalientes,Países Bajos,2006,3,2006-09-01,0
Aguascalientes,Panamá,2006,3,2006-09-01,0
Aguascalientes,Perú,2006,3,2006-09-01,0
Aguascalientes,Portugal,2006,3,2006-09-01,0
Aguascalientes,Reino Unido de la Gran Bretaña e Irlanda del Norte,2006,3,2006-09-01,0.01316
Aguascalientes,República Checa,2006,3,2006-09-01,0.0045440000000000003
Aguascalientes,Singapur,2006,3,2006-09-01,0
Aguascalientes,Suecia,2006,3,2006-09-01,0.0068430000000000001
Aguascalientes,Suiza,2006,3,2006-09-01,0
Aguascalientes,Taiwán,2006,3,2006-09-01,0
Aguascalientes,Uruguay,2006,3,2006-09-01,0
Aguascalientes,"Venezuela, República Bolivariana de",2006,3,2006-09-01,0
Aguascalientes,Otros países,2006,3,2006-09-01,-1.0482030000000004
Aguascalientes,Alemania,2006,4,2006-12-01,0.29462900000000003
Aguascalientes,Argentina,2006,4,2006-12-01,0
Aguascalientes,Australia,2006,4,2006-12-01,0
Aguascalientes,Austria,2006,4,2006-12-01,0
Aguascalientes,Bélgica,2006,4,2006-12-01,1.0000000000000001e-05
Aguascalientes,Brasil,2006,4,2006-12-01,1.16283
Aguascalientes,Canadá,2006,4,2006-12-01,0.115509
Aguascalientes,Chile,2006,4,2006-12-01,0
Aguascalientes,"China, República Popular de",2006,4,2006-12-01,0
Aguascalientes,Colombia,2006,4,2006-12-01,-0.00028499999999999999
Aguascalientes,"Corea, República de",2006,4,2006-12-01,0.000386
Aguascalientes,Dinamarca,2006,4,2006-12-01,0
Aguascalientes,Ecuador,2006,4,2006-12-01,0
Aguascalientes,El Salvador,2006,4,2006-12-01,0
Aguascalientes,España,2006,4,2006-12-01,2.120784
Aguascalientes,Estados Unidos de América,2006,4,2006-12-01,9.9925540000000037
Aguascalientes,Francia,2006,4,2006-12-01,-4.2243060000000003
Aguascalientes,Guatemala,2006,4,2006-12-01,0
Aguascalientes,Hong Kong,2006,4,2006-12-01,0
Aguascalientes,India,2006,4,2006-12-01,0
Aguascalientes,Italia,2006,4,2006-12-01,0
Aguascalientes,Japón,2006,4,2006-12-01,11.474882999999968
Aguascalientes,Luxemburgo,2006,4,2006-12-01,0
Aguascalientes,Nicaragua,2006,4,2006-12-01,0
Aguascalientes,Países Bajos,2006,4,2006-12-01,0
Aguascalientes,Panamá,2006,4,2006-12-01,5.384881
Aguascalientes,Perú,2006,4,2006-12-01,0
Aguascalientes,Portugal,2006,4,2006-12-01,0
Aguascalientes,Reino Unido de la Gran Bretaña e Irlanda del Norte,2006,4,2006-12-01,0.025572000000000001
Aguascalientes,República Checa,2006,4,2006-12-01,0
Aguascalientes,Singapur,2006,4,2006-12-01,0.074924000000000004
Aguascalientes,Suecia,2006,4,2006-12-01,0
Aguascalientes,Suiza,2006,4,2006-12-01,0.01017
Aguascalientes,Taiwán,2006,4,2006-12-01,0
Aguascalientes,Uruguay,2006,4,2006-12-01,0
Aguascalientes,"Venezuela, República Bolivariana de",2006,4,2006-12-01,0
Aguascalientes,Otros países,2006,4,2006-12-01,0.10603200000000002
Aguascalientes,Alemania,2007,1,2007-03-01,0.70080399999999987
Aguascalientes,Argentina,2007,1,2007-03-01,0
Aguascalientes,Australia,2007,1,2007-03-01,0
Aguascalientes,Austria,2007,1,2007-03-01,0
Aguascalientes,Bélgica,2007,1,2007-03-01,0.00011
Aguascalientes,Brasil,2007,1,2007-03-01,0.92203400000000002
Aguascalientes,Canadá,2007,1,2007-03-01,0.020409999999999998
Aguascalientes,Chile,2007,1,2007-03-01,0
Aguascalientes,"China, República Popular de",2007,1,2007-03-01,0
Aguascalientes,Colombia,2007,1,2007-03-01,0
Aguascalientes,"Corea, República de",2007,1,2007-03-01,0
Aguascalientes,Dinamarca,2007,1,2007-03-01,0
